Date,Totalcrime
2002-01-01,5974960
2003-01-01,6013759
2004-01-01,5637511
2005-01-01,5555172
2006-01-01,5427558
2007-01-01,4952277
2008-01-01,4702697
2009-01-01,4338295
2010-01-01,4150916
2011-01-01,4379984
2012-01-01,4063571
2013-01-01,4028463
2014-01-01,4167619
2015-01-01,4504998
2016-01-01,4961014
2017-01-01,5528281
2018-01-01,5964770
2019-01-01,6079765
2020-01-01,5433544
2021-01-01,6341706
2022-01-01,6737117
2023-01-01,6657518
