Date,Crime Type,Crime Rate
01/06/2024,VIOLENCE AGAINST THE PERSON,20279
01/07/2024,VIOLENCE AGAINST THE PERSON,21250
01/08/2024,VIOLENCE AGAINST THE PERSON,19758
01/09/2024,VIOLENCE AGAINST THE PERSON,19379
01/10/2024,VIOLENCE AGAINST THE PERSON,19568
01/11/2024,VIOLENCE AGAINST THE PERSON,19171
01/01/2024,Total Crimes,75550
01/02/2024,Total Crimes,75077
01/03/2024,Total Crimes,74964
01/04/2024,Total Crimes,76614
01/05/2024,Total Crimes,79072
01/06/2024,Total Crimes,78035
01/07/2024,Total Crimes,81939
01/08/2024,Total Crimes,79111
01/09/2024,Total Crimes,76070
01/10/2024,Total Crimes,80771
01/11/2024,Total Crimes,79945
